temperature,pression,target,temp_m-1,temp_m-2,temp_m-3,temp_m-4,temp_m-5,temp_m-6,temp_m-7,temp_m-8,temp_m-9,city_London,city_Paris,city_Washington
279.96,1009,279.96,279.96,279.96,279.96,279.96,279.96,279.96,279.84,279.96,279.96,0,1,0
279.96,1009,279.96,279.96,279.96,279.96,279.96,279.96,279.84,279.96,279.96,279.27,0,1,0
279.96,1009,279.96,279.96,279.96,279.96,279.96,279.84,279.96,279.96,279.27,279.27,0,1,0
279.96,1009,279.96,279.96,279.96,279.96,279.84,279.96,279.96,279.27,279.27,279.27,0,1,0
270.22,1039,270.22,269.97,269.97,269.97,269.73,269.73,269.73,269.73,270.55,270.55,0,0,1
269.97,1039,270.22,269.97,269.97,269.73,269.73,269.73,269.73,270.55,270.55,270.55,0,0,1
269.97,1039,269.97,269.97,269.73,269.73,269.73,269.73,270.55,270.55,270.55,270.55,0,0,1
269.97,1039,269.97,269.73,269.73,269.73,269.73,270.55,270.55,270.55,270.55,270.81,0,0,1
269.73,1039,269.97,269.73,269.73,269.73,270.55,270.55,270.55,270.55,270.81,270.81,0,0,1
269.73,1039,269.73,269.73,269.73,270.55,270.55,270.55,270.55,270.81,270.81,270.81,0,0,1
269.73,1039,269.73,269.73,270.55,270.55,270.55,270.55,270.81,270.81,270.81,270.81,0,0,1
269.73,1039,269.73,270.55,270.55,270.55,270.55,270.81,270.81,270.81,270.81,270.81,0,0,1
270.55,1039,269.73,270.55,270.55,270.55,270.81,270.81,270.81,270.81,270.81,270.81,0,0,1
270.55,1039,270.55,270.55,270.55,270.81,270.81,270.81,270.81,270.81,270.81,271.21,0,0,1
270.55,1039,270.55,270.55,270.81,270.81,270.81,270.81,270.81,270.81,271.21,271.21,0,0,1
270.55,1039,270.55,270.81,270.81,270.81,270.81,270.81,270.81,271.21,271.21,271.21,0,0,1
270.81,1039,270.55,270.81,270.81,270.81,270.81,270.81,271.21,271.21,271.21,271.21,0,0,1
270.81,1039,270.81,270.81,270.81,270.81,270.81,271.21,271.21,271.21,271.21,273.05,0,0,1
270.81,1039,270.81,270.81,270.81,270.81,271.21,271.21,271.21,271.21,273.05,273.05,0,0,1
270.81,1039,270.81,270.81,270.81,271.21,271.21,271.21,271.21,273.05,273.05,273.05,0,0,1
270.81,1039,270.81,270.81,271.21,271.21,271.21,271.21,273.05,273.05,273.05,273.05,0,0,1
270.81,1039,270.81,271.21,271.21,271.21,271.21,273.05,273.05,273.05,273.05,273.05,0,0,1
271.21,1039,270.81,271.21,271.21,271.21,273.05,273.05,273.05,273.05,273.05,273.05,0,0,1
271.21,1039,271.21,271.21,271.21,273.05,273.05,273.05,273.05,273.05,273.05,273.24,0,0,1
271.21,1039,271.21,271.21,273.05,273.05,273.05,273.05,273.05,273.05,273.24,273.12,0,0,1
271.21,1039,271.21,273.05,273.05,273.05,273.05,273.05,273.05,273.24,273.12,273.12,0,0,1
273.05,1037,271.21,273.05,273.05,273.05,273.05,273.05,273.24,273.12,273.12,273.12,0,0,1
273.05,1037,273.05,273.05,273.05,273.05,273.05,273.24,273.12,273.12,273.12,273.12,0,0,1
273.05,1037,273.05,273.05,273.05,273.05,273.24,273.12,273.12,273.12,273.12,273.51,0,0,1
273.05,1037,273.05,273.05,273.05,273.24,273.12,273.12,273.12,273.12,273.51,273.57,0,0,1
273.05,1037,273.05,273.05,273.24,273.12,273.12,273.12,273.12,273.51,273.57,273.57,0,0,1
273.05,1037,273.05,273.24,273.12,273.12,273.12,273.12,273.51,273.57,273.57,273.57,0,0,1
273.24,1037,273.05,273.12,273.12,273.12,273.12,273.51,273.57,273.57,273.57,273.57,0,0,1
273.12,1036,273.24,273.12,273.12,273.12,273.51,273.57,273.57,273.57,273.57,273.57,0,0,1
273.12,1036,273.12,273.12,273.12,273.51,273.57,273.57,273.57,273.57,273.57,273.57,0,0,1
273.12,1036,273.12,273.12,273.51,273.57,273.57,273.57,273.57,273.57,273.57,273.57,0,0,1
273.12,1036,273.12,273.51,273.57,273.57,273.57,273.57,273.57,273.57,273.57,273.57,0,0,1
273.51,1036,273.12,273.57,273.57,273.57,273.57,273.57,273.57,273.57,273.57,273.38,0,0,1
273.57,1036,273.51,273.57,273.57,273.57,273.57,273.57,273.57,273.57,273.38,273.38,0,0,1
273.57,1036,273.57,273.57,273.57,273.57,273.57,273.57,273.57,273.38,273.38,273.38,0,0,1
273.57,1036,273.57,273.57,273.57,273.57,273.57,273.57,273.38,273.38,273.38,273.38,0,0,1
273.57,1036,273.57,273.57,273.57,273.57,273.57,273.38,273.38,273.38,273.38,273.38,0,0,1
273.57,1036,273.57,273.57,273.57,273.57,273.38,273.38,273.38,273.38,273.38,273.33,0,0,1
273.57,1036,273.57,273.57,273.57,273.38,273.38,273.38,273.38,273.38,273.33,273.33,0,0,1
273.57,1036,273.57,273.57,273.38,273.38,273.38,273.38,273.38,273.33,273.33,273.33,0,0,1
273.57,1036,273.57,273.38,273.38,273.38,273.38,273.38,273.33,273.33,273.33,273.33,0,0,1
273.38,1036,273.57,273.38,273.38,273.38,273.38,273.33,273.33,273.33,273.33,273.33,0,0,1
273.38,1036,273.38,273.38,273.38,273.38,273.33,273.33,273.33,273.33,273.33,272.92,0,0,1
273.38,1036,273.38,273.38,273.38,273.33,273.33,273.33,273.33,273.33,272.92,272.92,0,0,1
273.38,1036,273.38,273.38,273.33,273.33,273.33,273.33,273.33,272.92,272.92,272.92,0,0,1
273.38,1036,273.38,273.33,273.33,273.33,273.33,273.33,272.92,272.92,272.92,272.92,0,0,1
273.33,1036,273.38,273.33,273.33,273.33,273.33,272.92,272.92,272.92,272.92,272.92,0,0,1
273.33,1036,273.33,273.33,273.33,273.33,272.92,272.92,272.92,272.92,272.92,273.33,0,0,1
273.33,1036,273.33,273.33,273.33,272.92,272.92,272.92,272.92,272.92,273.33,272.92,0,0,1
273.33,1036,273.33,273.33,272.92,272.92,272.92,272.92,272.92,273.33,272.92,272.92,0,0,1
273.33,1036,273.33,272.92,272.92,272.92,272.92,272.92,273.33,272.92,272.92,272.92,0,0,1
272.92,1036,273.33,272.92,272.92,272.92,272.92,273.33,272.92,272.92,272.92,272.92,0,0,1
272.92,1036,272.92,272.92,272.92,272.92,273.33,272.92,272.92,272.92,272.92,272.97,0,0,1
